expressions,synonyms,ex
I'll cross that bridge when I get there,I'll deal with it when I need to,"I am an ""I'll cross that bridge when I get there"" type of person. So you are barking up the wrong tree if you want me to be prepared for everything."
by the skin of one's teeth,narrowly,I managed to make it to the meeting on time by the skin of my teeth. If I had missed that meeting I would be in big trouble now.
oddball,strange person,"Everyone was like let's stay away from Taylor, as she's a bit of an odd ball, but I love her because she's different."
stick one's neck out,take a risk,you don't need to stick your neck out for other people if they don't do the same for you when you are in a similar situation.
scramble to get sth done,haphazardly complete sth in a rush,the reason why we are scrambling to get this work done now is because nobody told me when we had to complete it by.
honeymoon period,period of popularity,the government is trying to push through some unpopular legislation during its honeymoon period.
keep sb in line,make sb behave well,"if you don't keep yourself in line, I'm going to have to kick you out of this party."
God only knows,I don't know,"I am confident that I can pass the exam, but God only knows what will happen, right?"
refresher,concise reminder,"if you want a quick refresher on what happened in the last episode, you should read this summary."
extend an olive branch,initiate the resolution of the argument,"when I have a fight with my gf, it's always me who has to extend an olive branch."
count one's chickens before they hatch,be overconfident of success before the final outcome,I know you want to pick your dress for the initiation ceremony but don't count your chickens before they hatch. You havent received your exam result yet.
trickle in,arrive gradually in small numbers,"I was a bit worried that nobody was going to turn up to my show, but people are starting to trickle in now. what a relief."
raise the stakes,increase the importance of the topic being discussed,the doubling of the prize money for winning the competition has raised the stakes significantly.
no strings attached,no conditions attached,I'll sell you this car for half price with no strings attached. How about that?
bury one's head in the sand,deliberately ignore the unpleasant facts,you cant bury your head in the sand about this. Overcrowding on trains is a serious social problem.
double down,spend more effort,my resolution this year is to double down my personal investment in health and knowledge.
take center stage,attract a lot of attention,this new product will take center stage once it's marketed appropriately. We should go full steam ahead with the advertising.
fit for a king,extravagant,the hotel room was fit for a king. It might be a bit over the top.
Achilles heel,big weakness,Honey is Pooh Bear's Achilles heel. So adorable.
play sth up,exaggerate sth,"Mark told me the movie he saw on the weekend was the bast movie ever, but I think he's playing it up a bit. I thought it was good, but not great."
slice and dice sth,rearrange and analyze sth,"I'm trying to map out this complicated strategy, but have had no luck yet. I can slice and dice it in so many ways."
half-barked,rough,"this is just a half-baked idea, but I think it would be cool if we created a database of popular house music, analyze sound patterns, and make song out of it."
urban legend,unsubstantiated story,"human faced dog is one of the scariest Japanese urban legends I've ever heard. However, real life sightings are unheard of."
force sb's hand,compel sb,"I was saving this wine for later, but tom forced my hand to open it. Today's his birthday, so I'll let him do whatever he wants."
"where there's smoke, there's fire","when something seems bad, something is usually wrong","some students have been saying that Lisa cheated on the test. Where there's smoke, there's fire."
smell a rat,feel suspicious,"this 18 year old girl is dating a 68 year old man? Kudos to him, but I smell a rat."
all good things must come to an end,even enjoyable experience cannnot last forever,"I know all the good things must come to an end, but can we stay at starbacks another half an hour? I don't wanna hit pause on our chat."
when all's said and done,ultimately,"when all's said and done, it doesn't matter how you win. By hook or by crook, you just have to win."
play the long game,act on a long term plan,I am playing the long game by doing this unpaid internship. I am not earning anything right now but it should get me into a great job furthur down the road.
devil's in the detail,minor details are difficult to get right,"Surfing looks really easy when the pros do it, but the devil's in the detail. Everyting has to be inch-perfect."
hold all the cards,possess a significant advantage,"we currently hold all the cards, so we should ask for a better deal. Let's ramp up the negotiations."
great minds think alike,we had the same good idea,my brother and I are wearing the same shirt today. Great minds think a like.
the good life,a quality way of living,I feel so happy when I look at his holiday photos on instagram. That's definetely the good life.
have sb on a leash,have sb under strict control,Paul's girlfriend has him on a leash. He never comes out to Friday drinks anymore.

